'37431f2,Stefan Wintermeyer,2 months ago,Bugfix. /users/x/groups/ now only displays the groups of that user.'
'ea60147,Oliver Andrich,3 months ago,Added ex_machina (https://github.com/thoughtbot/ex_machina) to the project.'
'66b8845,Stefan Wintermeyer,3 months ago,Display "You already follow back" if the connection is bothways.'
'c16e54e,Stefan Wintermeyer,3 months ago,btn-xs bugfix for "Follow back" button.'
'2b0356f,Stefan Wintermeyer,3 months ago,Some HTML/CSS improvements on user#show.'
'4ade213,Stefan Wintermeyer,3 months ago,gettext for "Welcome back!" message'
'2e1f9b9,Stefan Wintermeyer,3 months ago,After login the user will be redirected to his/her home user#show'
'bdbab98,Stefan Wintermeyer,3 months ago,Don't display a Delete button for an email if only one email exists.'
'72a2809,Stefan Wintermeyer,3 months ago,Fixed follow back function. closes #36'
'92581da,Stefan Wintermeyer,3 months ago,Buggy follow back functionality.'
'4df9392,Stefan Wintermeyer,3 months ago,Implements basic Follow functionality in user#show'
'7761221,Stefan Wintermeyer,3 months ago,Fixed wording.'
'87f69a7,Stefan Wintermeyer,3 months ago,Nests Group within User.'
'0358860,Stefan Wintermeyer,3 months ago,Renders group#index in user#show for @user.groups'
'07dd2a6,Stefan Wintermeyer,3 months ago,Create default groups when a new user is created.'
'4ad1251,Stefan Wintermeyer,3 months ago,Renders emails#index in the user#show template. DRY'
'e8f2d5e,Stefan Wintermeyer,3 months ago,Email becomes a nested resource of User.'
'2e497fc,Stefan Wintermeyer,3 months ago,Adds a link to the current_user home.'
'51470b2,Stefan Wintermeyer,3 months ago,Adds ?d=404 to gravatar URL to get a 404 error and no image if not exist.'
'82ddfa7,Stefan Wintermeyer,3 months ago,gravatar_url(@user) => nil if no email is associated.'
'a8e9217,Stefan Wintermeyer,3 months ago,Deactivate the seeds.'
'c9fe664,Stefan Wintermeyer,3 months ago,Display Gravatar image in user#show'
'1f26b58,Stefan Wintermeyer,3 months ago,Workflow improvements.'
'dc3729e,Stefan Wintermeyer,3 months ago,Fixed label of email address in form.'
'5eb245a,Stefan Wintermeyer,3 months ago,Adds gender to the seeds.'
'9122f7a,Stefan Wintermeyer,3 months ago,Adds MySQL info.'
'0a8d223,Stefan Wintermeyer,3 months ago,Refactoring'
'5982454,Stefan Wintermeyer,3 months ago,Deactivates user controller tests.'
'84f8201,Stefan Wintermeyer,3 months ago,Deletes old comments.'
'6245999,Stefan Wintermeyer,3 months ago,Add an email address with a new registration.'
